City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
330,Progreso,MX,21.2833,-89.6667,89.71,64,41,14.61,scattered clouds
331,Hazorasp,UZ,41.3194,61.0742,76.84,34,8,20.51,clear sky
332,Agadez,NE,19.75,10.25,96.64,13,53,3.29,broken clouds
333,Marand,IR,38.4329,45.7749,77.34,52,34,9.1,scattered clouds
334,Arcata,US,40.8665,-124.0828,54.79,94,90,5.75,overcast clouds
335,Tasiilaq,GL,65.6145,-37.6368,48.36,90,86,6.6,overcast clouds
336,Haysville,US,37.5645,-97.3523,92.68,53,20,17.27,few clouds
337,La Tuque,CA,47.4334,-72.7824,73.65,60,100,11.5,overcast clouds
338,Evensk,RU,61.95,159.2333,49.03,97,100,2.8,overcast clouds
339,Kenora,CA,49.8167,-94.4337,75.18,60,40,9.22,smoke
340,La Ronge,CA,55.1001,-105.2842,71.82,45,75,4.61,smoke
341,Raton,US,36.9034,-104.4391,84.58,45,1,1.01,clear sky
342,Mao,ES,39.8885,4.2658,73.96,56,20,6.91,few clouds
343,Otradnoye,RU,59.7775,30.8181,78.85,53,71,2.71,broken clouds
344,Fuerte,PH,17.5381,120.3644,79.84,81,100,4.56,overcast clouds
345,Kilindoni,TZ,-7.9139,39.6668,77.2,78,44,12.91,scattered clouds
346,San Cristobal,VE,7.7669,-72.225,75.38,97,98,6.02,overcast clouds
347,Teya,RU,60.3778,92.6267,52.21,66,25,2.44,scattered clouds
